1	Növényevő	Növényevő	ADJ	_	Case=Nom|Number=Sing|Number[psed]=None|Number[psor]=None|Person[psor]=None|VerbForm=PartPres	0	_	_	_
2	állatként	állat	NOUN	_	Case=Abs|Number=Sing|Number[psed]=None|Number[psor]=None|Person[psor]=None	1	_	_	_
3	a	a	DET	_	Definite=Def|PronType=Art	2	_	_	_
4	törpe	törpe	ADJ	_	Case=Nom|Degree=Pos|Number=Sing|Number[psed]=None|Number[psor]=None|Person[psor]=None	3	_	_	_
5	víziló	víziló	NOUN	_	Case=Nom|Number=Sing|Number[psed]=None|Number[psor]=None|Person[psor]=None	4	_	_	_
6	számos	számos	DET	_	Definite=Ind|PronType=Ind	5	_	_	_
7	növényi	növényi	ADJ	_	Case=Nom|Degree=Pos|Number=Sing|Number[psed]=None|Number[psor]=None|Person[psor]=None	6	_	_	_
8	eredetű	eredetű	ADJ	_	Case=Nom|Degree=Pos|Number=Sing|Number[psed]=None|Number[psor]=None|Person[psor]=None	7	_	_	_
9	táplálékot	táplálék	NOUN	_	Case=Acc|Number=Sing|Number[psed]=None|Number[psor]=None|Person[psor]=None	8	_	_	_
10	fogyaszt	fogyaszt	VERB	_	Definite=Ind|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	9	_	_	_
11	,	,	PUNCT	_	_	10	_	_	_
12	többek	több	DET	_	Definite=Ind|PronType=Ind	11	_	_	_
13	között	között	ADP	_	_	12	_	_	_
14	páfrányokat	páfrány	NOUN	_	Case=Acc|Number=Plur|Number[psed]=None|Number[psor]=None|Person[psor]=None	13	_	_	_
15	,	,	PUNCT	_	_	14	_	_	_
16	széleslevelű	széleslevelű	ADJ	_	Case=Nom|Degree=Pos|Number=Sing|Number[psed]=None|Number[psor]=None|Person[psor]=None	15	_	_	_
17	növényeket	növény	NOUN	_	Case=Acc|Number=Plur|Number[psed]=None|Number[psor]=None|Person[psor]=None	16	_	_	_
18	,	,	PUNCT	_	_	17	_	_	_
19	füveket	füv	NOUN	_	Case=Acc|Number=Plur|Number[psed]=None|Number[psor]=None|Person[psor]=None	18	_	_	_
20	és	és	CCONJ	_	_	19	_	_	_
21	gyümölcsöket	gyümölcsök	NOUN	_	Case=Acc|Number=Plur|Number[psed]=None|Number[psor]=None|Person[psor]=None	20	_	_	_
22	.	.	PUNCT	_	_	21	_	_	_


